baseline_fail_experiment_pass,baseline_mean,baseline_pass_experiment_fail,both_fail,both_pass,case_count,ci_95_high,ci_95_low,conclusive,experiment_id,experiment_mean,mean_difference,metric
,1144.4706588231115,,,,34,2057.15884411877,1313.9498117623803,True,WRRF_D1.5_B1,2809.9747058813055,1665.504047058194,total_latency
,1141.1764705882354,,,,34,13.941176470588236,-16.11764705882353,False,WRRF_D1.5_B1,1138.9411764705883,-2.235294117647059,estimated_context_tokens
1,0.3333333333333333,2,19,8,30,0.06666666666666667,-0.16666666666666666,False,WRRF_D1_B1,0.3,-0.03333333333333333,complete_evidence_recall
1,0.36666666666666664,2,18,9,30,0.06666666666666667,-0.16666666666666666,False,WRRF_D1_B1,0.3333333333333333,-0.03333333333333333,all_reports_hit
,0.46111111111111114,,,,30,0.04444444444444444,-0.13333333333333333,False,WRRF_D1_B1,0.4277777777777778,-0.03333333333333333,evidence_recall
,0.29901960784313725,,,,34,0.04411764705882353,-0.03921568627450981,False,WRRF_D1_B1,0.2965686274509804,-0.002450980392156863,macro_mrr
,1144.4706588231115,,,,34,1777.4781205876293,1156.8757176466854,True,WRRF_D1_B1,2592.326670588056,1447.8560117649442,total_latency
,1141.1764705882354,,,,34,15.382352941176471,-11.794117647058824,False,WRRF_D1_B1,1141.8235294117646,0.6470588235294118,estimated_context_tokens
0,0.3333333333333333,3,20,7,30,0.0,-0.23333333333333334,False,WRRF_D1_B1.5,0.23333333333333334,-0.1,complete_evidence_recall
0,0.36666666666666664,3,19,8,30,0.0,-0.23333333333333334,False,WRRF_D1_B1.5,0.26666666666666666,-0.1,all_reports_hit
,0.46111111111111114,,,,30,-0.05,-0.2611111111111111,True,WRRF_D1_B1.5,0.3111111111111111,-0.15,evidence_recall
,0.29901960784313725,,,,34,0.007352941176470587,-0.13725490196078433,False,WRRF_D1_B1.5,0.23529411764705882,-0.06372549019607843,macro_mrr
,1144.4706588231115,,,,34,1865.957600004228,1009.1915529474671,True,WRRF_D1_B1.5,2553.4691382387846,1408.9984794156728,total_latency
,1141.1764705882354,,,,34,25.058823529411764,-8.294117647058824,False,WRRF_D1_B1.5,1148.8823529411766,7.705882352941177,estimated_context_tokens
0,0.3333333333333333,3,20,7,30,0.0,-0.23333333333333334,False,WRRF_D1_B2,0.23333333333333334,-0.1,complete_evidence_recall
0,0.36666666666666664,3,19,8,30,0.0,-0.23333333333333334,False,WRRF_D1_B2,0.26666666666666666,-0.1,all_reports_hit
,0.46111111111111114,,,,30,-0.05,-0.2611111111111111,True,WRRF_D1_B2,0.3111111111111111,-0.15,evidence_recall
,0.29901960784313725,,,,34,0.007352941176470587,-0.13725490196078433,False,WRRF_D1_B2,0.23529411764705882,-0.06372549019607843,macro_mrr
,1144.4706588231115,,,,34,1719.7005647077972,1170.02130882354,True,WRRF_D1_B2,2577.7231117642846,1433.252452941173,total_latency
,1141.1764705882354,,,,34,25.058823529411764,-8.294117647058824,False,WRRF_D1_B2,1148.8823529411766,7.705882352941177,estimated_context_tokens
1,0.3333333333333333,2,19,8,30,0.06666666666666667,-0.16666666666666666,False,WRRF_D2_B1,0.3,-0.03333333333333333,complete_evidence_recall
2,0.36666666666666664,2,17,9,30,0.13333333333333333,-0.13333333333333333,False,WRRF_D2_B1,0.36666666666666664,0.0,all_reports_hit
,0.46111111111111114,,,,30,0.07222222222222222,-0.1388888888888889,False,WRRF_D2_B1,0.4388888888888889,-0.022222222222222223,evidence_recall
,0.29901960784313725,,,,34,0.04411764705882353,-0.053921568627450976,False,WRRF_D2_B1,0.29411764705882354,-0.004901960784313727,macro_mrr
,1144.4706588231115,,,,34,2286.2751058800154,1440.6317441201227,True,WRRF_D2_B1,2988.464564705603,1843.9939058824914,total_latency
,1141.1764705882354,,,,34,13.941176470588236,-16.11764705882353,False,WRRF_D2_B1,1138.9411764705883,-2.235294117647059,estimated_context_tokens
0,0.3333333333333333,0,20,10,30,0.0,0.0,False,repaired_baseline,0.3333333333333333,0.0,complete_evidence_recall
0,0.36666666666666664,0,19,11,30,0.0,0.0,False,repaired_baseline,0.36666666666666664,0.0,all_reports_hit
,0.46111111111111114,,,,30,0.0,0.0,False,repaired_baseline,0.46111111111111114,0.0,evidence_recall
,0.29901960784313725,,,,34,0.0,0.0,False,repaired_baseline,0.29901960784313725,0.0,macro_mrr
,1144.4706588231115,,,,34,908.7276352982051,539.330414700945,True,repaired_baseline,1857.8805147023077,713.4098558791961,total_latency
