absolute_difference,baseline_estimate,baseline_wins,ci_95_high,ci_95_low,conclusive,experiment_estimate,experiment_id,experiment_wins,metric,relative_difference,sample_size,ties
0.0,0.4,0,0.0,0.0,False,0.4,RERANK00,0,all_reports_hit,0.0,30,30
0.0,0.5055555555555555,0,0.0,0.0,False,0.5055555555555555,RERANK00,0,evidence_recall,0.0,30,30
0.0,0.31209150326797386,0,0.0,0.0,False,0.31209150326797386,RERANK00,0,macro_mrr,0.0,34,34
233.83420880931868,3207.377491183305,6,321.5504146903507,154.28989705191378,True,3441.211699992624,RERANK00,28,median_latency,0.07290511000095898,34,0
0.0,1897.8823529411766,0,0.0,0.0,False,1897.8823529411766,RERANK00,0,estimated_context_tokens,0.0,34,34
0.0,0.36666666666666664,0,0.0,0.0,False,0.36666666666666664,SEM00,0,complete_evidence_recall,0.0,30,30
0.0,0.4,0,0.0,0.0,False,0.4,SEM00,0,all_reports_hit,0.0,30,30
0.0,0.5055555555555555,0,0.0,0.0,False,0.5055555555555555,SEM00,0,evidence_recall,0.0,30,30
0.0,0.31209150326797386,0,0.0,0.0,False,0.31209150326797386,SEM00,0,macro_mrr,0.0,34,34
38.65112646770499,3207.377491183305,16,136.8836411720087,-66.74276471569422,False,3246.02861765101,SEM00,18,median_latency,0.012050694554648552,34,0
0.0,1897.8823529411766,0,0.0,0.0,False,1897.8823529411766,SEM00,0,estimated_context_tokens,0.0,34,34
-0.06666666666666667,0.36666666666666664,2,0.0,-0.16666666666666666,False,0.3,STRUCT_CANDIDATE_1,0,complete_evidence_recall,-0.18181818181818182,30,28
-0.1,0.4,3,0.0,-0.2,False,0.3,STRUCT_CANDIDATE_1,0,all_reports_hit,-0.25,30,27
-0.05,0.5055555555555555,5,0.011111111111111112,-0.11666666666666667,False,0.45555555555555555,STRUCT_CANDIDATE_1,1,evidence_recall,-0.09890109890109891,30,24
-0.045098039215686274,0.31209150326797386,12,-0.023366013071895425,-0.07001633986928105,True,0.2669934640522876,STRUCT_CANDIDATE_1,0,macro_mrr,-0.14450261780104712,34,22
